정류장,호선_개수,주변_편의시설_개수,노선,위도,경도,주변_장애인시설_개수,지역구,8월_장애인_승객수,9월_장애인_승객수,10월_장애인_승객수,평균_장애인_승객수
동대문역사문화공원,3,30,2,37.565613,127.009054,0,중구,19617,19949,20756,20107.333333333332
동대입구,1,6,3,37.559052,127.005602,0,중구,4488,5828,5828,5381.333333333333
명동,1,16,4,37.560989,126.986325,3,중구,11505,13225,13225,12651.666666666666
버티고개,1,5,6,37.548013,127.007055,0,중구,1128,1127,1161,1138.6666666666667
서울역,6,18,1,37.556228,126.972135,4,중구,44849,45634,49335,46606.0
시청,2,20,1,37.565715,126.977088,0,중구,24821,25924,28089,26278.0
신금호,1,14,5,37.554548,127.020331,0,중구,5643,5996,6067,5902.0
신당,2,32,2,37.56564,127.019614,0,중구,19487,19755,20678,19973.333333333332
약수,2,20,3,37.554867,127.010541,0,중구,14517,15566,15767,15283.333333333334
을지로입구,1,6,2,37.566014,126.982618,0,중구,17418,16925,17953,17432.0
청구,2,20,5,37.560276,127.013639,2,중구,6602,6861,7115,6859.333333333333
충무로,2,7,4,37.561207,126.99408,0,중구,16872,18350,18350,17857.333333333332
회현(남대문시장),1,6,4,37.558514,126.978246,0,중구,18625,21312,21312,20416.333333333332
낙성대,1,44,2,37.47693,126.963693,1,관악구,16077,16598,18088,16921.0
남태령,1,0,4,37.463873,126.989134,0,관악구,1275,1236,1236,1249.0
봉천,1,46,2,37.482362,126.941892,2,관악구,25238,25307,26403,25649.333333333332
서울대입구(관악구청),1,28,2,37.481247,126.952739,0,관악구,27012,27233,29023,27756.0
신림,2,70,2,37.484201,126.929715,0,관악구,34888,35592,38358,36279.333333333336
남구로,1,37,7,37.486056,126.887249,3,구로구,12339,12211,12989,12513.0
대림(구로구청),2,74,2,37.493243,126.894932,2,구로구,28362,30091,32748,30400.333333333332
신도림,2,13,2,37.508961,126.891084,1,구로구,35900,36205,39227,37110.666666666664
온수(성공회대입구),2,15,7,37.492092,126.823023,0,구로구,7526,7777,8431,7911.333333333333
천왕,1,37,7,37.486637,126.838713,3,구로구,11106,11508,12138,11584.0
남성,1,23,7,37.484596,126.971251,0,동작구,8936,9239,9718,9297.666666666666
노들,1,9,9,37.512887,126.953222,0,동작구,4069,4170,4597,4278.666666666667
노량진,2,17,9,37.513534,126.941005,0,동작구,15463,16109,16777,16116.333333333334
동작(현충원),2,6,4,37.502852,126.980347,0,동작구,2395,3364,3422,3060.3333333333335
사당,2,42,2,37.476538,126.981544,2,동작구,34663,37841,39797,37433.666666666664
